600071.SH	凤凰光学
600072.SH	中船科技
600073.SH	上海梅林
600075.SH	新疆天业
600081.SH	东风科技
600082.SH	海泰发展
600084.SH	ST中葡
600085.SH	同仁堂
600093.SH	易见股份
600096.SH	云天化
600097.SH	开创国际
600098.SH	广州发展
600099.SH	林海股份
600101.SH	明星电力
600103.SH	青山纸业
600104.SH	上汽集团
600108.SH	亚盛集团
600111.SH	北方稀土
600113.SH	浙江东日
600115.SH	东方航空
600116.SH	三峡水利
600117.SH	西宁特钢
600118.SH	中国卫星
600119.SH	ST长投
600120.SH	浙江东方
600121.SH	郑州煤电
600123.SH	兰花科创
600125.SH	铁龙物流
600126.SH	杭钢股份
600127.SH	金健米业
600128.SH	弘业股份
600129.SH	太极集团
600131.SH	国网信通
600133.SH	东湖高新
600135.SH	乐凯胶片
600138.SH	中青旅
600141.SH	兴发集团
600148.SH	长春一东
600149.SH	ST坊展
600150.SH	中国船舶
600151.SH	航天机电
600153.SH	建发股份
600156.SH	华升股份
600159.SH	大龙地产
600160.SH	巨化股份
600161.SH	天坛生物
600163.SH	中闽能源
600166.SH	福田汽车
600168.SH	武汉控股
600169.SH	太原重工
600170.SH	上海建工
600171.SH	上海贝岭
600176.SH	中国巨石
600178.SH	东安动力
600183.SH	生益科技
600184.SH	光电股份
600185.SH	格力地产
600188.SH	兖州煤业
600189.SH	吉林森工
600190.SH	锦州港
600192.SH	长城电工
600195.SH	中牧股份
600197.SH	伊力特
600198.SH	大唐电信
600199.SH	金种子酒
600202.SH	哈空调
600203.SH	福日电子
600206.SH	有研新材
600207.SH	安彩高科
600213.SH	亚星客车
600218.SH	全柴动力
600221.SH	海航控股
600222.SH	太龙药业
600223.SH	鲁商发展
600225.SH	*ST松江
600228.SH	ST昌九
600229.SH	城市传媒
600230.SH	沧州大化
600231.SH	凌钢股份
600235.SH	民丰特纸
600236.SH	桂冠电力
600239.SH	云南城投
600241.SH	*ST时万
600248.SH	延长化建
600249.SH	两面针
600250.SH	南纺股份
600251.SH	冠农股份
600252.SH	中恒集团
600258.SH	首旅酒店
600259.SH	广晟有色
600262.SH	北方股份
600266.SH	城建发展
600267.SH	海正药业
600268.SH	国电南自
600269.SH	赣粤高速
600271.SH	航天信息
600272.SH	开开实业
600278.SH	东方创业
600279.SH	重庆港九
600281.SH	太化股份
600284.SH	浦东建设
600287.SH	江苏舜天
600292.SH	远达环保
600298.SH	安琪酵母
600299.SH	安迪苏
600301.SH	ST南化
600302.SH	标准股份
600305.SH	恒顺醋业
600307.SH	酒钢宏兴
600309.SH	万华化学
600310.SH	桂东电力
600312.SH	平高电气
600313.SH	农发种业
600316.SH	洪都航空
600317.SH	营口港
600320.SH	振华重工
600322.SH	天房发展
600323.SH	瀚蓝环境
600325.SH	华发股份
600326.SH	西藏天路
600328.SH	中盐化工
600329.SH	中新药业
600332.SH	白云山
600333.SH	长春燃气
600335.SH	国机汽车
600336.SH	澳柯玛
600339.SH	中油工程
600343.SH	航天动力
600345.SH	长江通信
600348.SH	阳泉煤业
600350.SH	山东高速
600354.SH	*ST敦种
600356.SH	恒丰纸业
600358.SH	*ST联合
600359.SH	新农开发
600362.SH	江西铜业
600367.SH	红星发展
600368.SH	五洲交通
600369.SH	西南证券
600372.SH	中航电子
600373.SH	中文传媒
600375.SH	华菱星马
600376.SH	首开股份
600377.SH	宁沪高速
600378.SH	昊华科技
600379.SH	宝光股份
600386.SH	北巴传媒
600389.SH	江山股份
600390.SH	五矿资本
600391.SH	航发科技
600392.SH	盛和资源
600395.SH	盘江股份
600396.SH	金山股份
600397.SH	安源煤业
600403.SH	大有能源
600406.SH	国电南瑞
600409.SH	三友化工
600415.SH	小商品城
600416.SH	*ST湘电
600418.SH	江淮汽车
600419.SH	天润乳业
600420.SH	现代制药
600423.SH	ST柳化
600425.SH	青松建化
600426.SH	华鲁恒升
600428.SH	中远海特
600429.SH	三元股份
600433.SH	冠豪高新
600435.SH	北方导航
600436.SH	片仔癀
600444.SH	国机通用
600448.SH	华纺股份
600449.SH	宁夏建材
600452.SH	涪陵电力
600455.SH	博通股份
600456.SH	宝钛股份
600458.SH	时代新材
600459.SH	贵研铂业
600461.SH	洪城水业
600463.SH	空港股份
600468.SH	百利电气
600469.SH	风神股份
600470.SH	*ST六化
600475.SH	华光环能
600476.SH	湘邮科技
600479.SH	千金药业
600480.SH	凌云股份
600482.SH	中国动力
600483.SH	福能股份
600486.SH	扬农化工
600488.SH	天药股份
600489.SH	中金黄金
600495.SH	晋西车轴
600497.SH	驰宏锌锗
600498.SH	烽火通信
600500.SH	中化国际
600501.SH	航天晨光
600502.SH	安徽建工
600505.SH	西昌电力
600506.SH	香梨股份
600508.SH	上海能源
600509.SH	天富能源
600510.SH	黑牡丹
600511.SH	国药股份
600513.SH	联环药业
600517.SH	国网英大
600519.SH	贵州茅台
600523.SH	贵航股份
600526.SH	菲达环保
600528.SH	中铁工业
600529.SH	山东药玻
600531.SH	豫光金铅
600533.SH	栖霞建设
600536.SH	中国软件
600540.SH	新赛股份
600543.SH	莫高股份
600546.SH	山煤国际
600547.SH	山东黄金
600548.SH	深高速
600549.SH	厦门钨业
600550.SH	保变电气
600551.SH	时代出版
600552.SH	凯盛科技
600558.SH	大西洋
600559.SH	老白干酒
600560.SH	金自天正
600561.SH	江西长运
600562.SH	国睿科技
600569.SH	安阳钢铁
600573.SH	惠泉啤酒
600575.SH	淮河能源
600578.SH	京能电力
600579.SH	克劳斯
600581.SH	八一钢铁
600582.SH	天地科技
600583.SH	海油工程
600585.SH	海螺水泥
600587.SH	新华医疗
600592.SH	龙溪股份
600593.SH	大连圣亚
600597.SH	光明乳业
600600.SH	青岛啤酒
600602.SH	云赛智联
600604.SH	市北高新
600606.SH	绿地控股
600608.SH	ST沪科
600609.SH	金杯汽车
600612.SH	老凤祥
600616.SH	金枫酒业
600617.SH	国新能源
600618.SH	氯碱化工
600619.SH	海立股份
600621.SH	华鑫股份
600622.SH	光大嘉宝
600623.SH	华谊集团
